Ro,Theta,Phi,3,4,5,6,7,8
1.1709815987452579,-0.8844329189726179,0.16472808104368367,-10.156,-5.116,7.464,-370.18,31.15,1.0
6.849035474035742,0.6271781054489962,0.3741898391813489,-6.765,3.693,-11.17,-370.12,41.23,1.0
6.131951555532709,1.2473606244994235,0.2584007609086911,3.54,-4.28,-21.833,-370.11,37.06,1.0
3.5640010240318394,0.8537332922125782,0.6572828955451007,11.412,-9.964,-1.772,-369.95,32.19,1.0
4.003500144885723,0.7348888261535156,1.267321017147654,9.577,-0.326,-9.453,-369.93,41.78,1.0
6.718065860893297,0.32585750310213774,0.791664356240398,-7.794,3.798,1.114,-369.44,43.76,1.0
5.040982968211656,0.6120582420510629,0.6216087912682534,-9.633,-3.292,-9.685,-369.23,28.71,1.0
7.014949670767424,0.2971466900690335,0.5410397440051425,6.766,5.466,-0.622,-368.95,40.79,1.0
7.168017671127771,0.0349103433010329,0.8591277100399257,4.334,1.64,13.216,-368.86,40.17,1.0
3.6918844143472316,1.0080890274092789,0.873822969598348,9.121,-1.058,-8.242,-368.85,34.99,1.0
3.6193154205319,0.8353354872773933,0.6171997863744924,10.032,-11.061,-0.176,-368.82,31.31,1.0
5.0425955429124,0.6360972394351451,0.6094886700064798,-8.892,-3.731,-9.52,-368.81,28.2,1.0
7.114753727888268,0.053687281587057205,0.7548733782193131,4.453,1.544,9.274,-368.7,39.89,1.0
5.3993936415953225,0.3725827445103118,1.284002921752832,6.208,-12.374,-1.15,-368.36,25.97,1.0
